image_name,x,y
00380_png,3177.502197265625,6937.732421875
00380_png,3709.311279296875,6782.458984375
00380_png,3540.831787109375,7322.986328125
00380_png,3178.96728515625,6386.951171875
00380_png,3186.29248046875,6959.705078125
00380_png,4071.17578125,6855.701171875
00380_png,4003.7841796875,6533.435546875
00380_png,3858.745361328125,6300.525390625
00380_png,3800.143798828125,6801.501953125
00380_png,3874.86083984375,7229.236328125
00380_png,3171.64208984375,6592.029296875
00380_png,4049.2001953125,6882.068359375
00380_png,4003.7841796875,7258.533203125
00380_png,3751.79736328125,6036.853515625
00380_png,4164.9384765625,7192.615234375
00380_png,3474.905029296875,6804.431640625
00380_png,3786.95849609375,6562.732421875
00380_png,3772.30810546875,6920.154296875
00380_png,3392.8629150390625,7037.341796875
00380_png,3917.3466796875,6326.892578125
00380_png,3866.070556640625,6205.310546875
00380_png,3518.856201171875,6252.185546875
00380_png,3543.761962890625,7308.337890625
00380_png,3879.255859375,6466.052734375
00380_png,3532.0416259765625,7207.263671875
00380_png,3596.50341796875,7134.021484375
00380_png,3750.33251953125,6095.447265625
00380_png,3744.47216796875,7134.021484375
00380_png,3429.4888916015625,6886.462890625
00380_png,3263.939453125,6485.095703125
00380_png,3432.4189453125,6947.986328125
00380_png,4028.68994140625,7469.470703125
00380_png,3590.64306640625,6208.240234375
00380_png,3196.521484375,3337.146484375
00380_png,3023.669921875,3020.740234375
00380_png,4185.291015625,3710.681640625
00380_png,3290.271484375,3592.029296875
00380_png,3017.810546875,3370.837890625
00380_png,4030.017578125,3786.853515625
00380_png,3656.482421875,3744.373046875
00380_png,3401.599609375,3370.837890625
00380_png,4066.638671875,3766.345703125
00380_png,3458.728515625,3514.392578125
00380_png,3088.123046875,3022.205078125
00380_png,4006.580078125,3921.619140625
00380_png,3389.880859375,3829.333984375
00380_png,3236.072265625,3454.333984375
00380_png,3499.744140625,3151.111328125
00380_png,3174.548828125,3548.083984375
00380_png,3578.845703125,3719.470703125
00380_png,3272.693359375,3773.669921875
00380_png,4056.384765625,3470.447265625
00380_png,3838.123046875,3665.271484375
00380_png,3751.697265625,3669.666015625
00380_png,3124.744140625,3546.619140625
00380_png,3690.173828125,3345.935546875
00380_png,4012.439453125,3384.021484375
00380_png,4043.201171875,3779.529296875
00380_png,3089.587890625,3671.130859375
00380_png,3060.291015625,3786.853515625
00380_png,3044.177734375,3400.134765625
00380_png,3725.330078125,3250.720703125
00380_png,3817.615234375,3064.685546875
00380_png,3545.154296875,3309.314453125
00380_png,4078.357421875,3792.712890625
00380_png,4192.615234375,3359.119140625
00380_png,3028.064453125,4161.853515625
00380_png,3033.923828125,3364.978515625
00380_png,3259.509765625,3514.392578125
00380_png,4113.513671875,3215.564453125
00380_png,3419.177734375,3474.841796875
00380_png,3485.095703125,3782.458984375
00380_png,3033.923828125,3716.541015625
00380_png,3250.720703125,3190.662109375
00380_png,3846.912109375,3779.529296875
00380_png,3017.810546875,3275.623046875
00380_png,3299.060546875,3306.384765625
